"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"58",23896264169,2,3,28,5,NA,NA
"59",23896264169,3,4,32,2,NA,NA
"60",23896264169,4,5,105,5,NA,NA
"61",23896264169,5,6,-116,4,NA,NA
"62",23896264169,6,7,48,4,NA,NA
"63",23896264169,7,8,66.1999999999999,2,NA,NA
"64",23924620234,1,2,-68.9,4,NA,NA
"65",23924620234,2,3,1.89999999999998,2,NA,NA
"66",23924620234,3,4,-31,6,NA,NA
"67",23924620234,4,5,41.1,2,NA,NA
"68",23924620234,5,6,1.89999999999998,2,NA,NA
"69",23969324559,1,2,-168,7,NA,NA
"70",23969324559,2,3,-58,4,NA,NA
"71",23969324559,3,4,-15,8,NA,NA
"72",23969324559,4,5,59,2,NA,NA
"73",23969324559,5,6,0,0,NA,NA
"74",23969324559,6,7,60,0,NA,NA
"75",23969324559,7,8,90,0,NA,NA
"76",24291960195,1,2,59,3,NA,NA
"77",24291960195,2,3,60.1,4,NA,NA
"78",24291960195,3,4,201.9,2,NA,NA
"79",24291960195,4,5,-96.9000000000001,4,NA,NA
"80",24291960195,5,6,45.6000000000001,2,NA,NA
"81",24291960195,6,7,201.9,2,NA,NA
"82",24319152517,1,2,167.01,4,NA,NA
"83",24319152517,2,3,-128,8,1,"."
"84",24319152517,3,4,271.09,6,NA,NA
"85",24319152517,4,5,145,1,NA,NA
"86",24596036343,1,2,-30,2,0.2,"."
"87",24596036343,2,3,114,3,0.6,"."
"88",24596036343,3,4,83,5,NA,NA
"89",24596036343,4,5,300,4,NA,NA
"90",24596036343,5,6,108,3,NA,NA
"91",24596036343,6,7,-486,9,NA,NA
"92",24596036343,7,8,386,9,NA,NA
"93",25673844634,1,2,-127.9,8,NA,NA
"94",25673844634,2,3,6,2,NA,NA
"95",25673844634,3,4,15,2,NA,NA
"96",26519380192,1,2,85,3,NA,NA
"97",26519380192,2,3,28,6,NA,NA
"98",26519380192,3,4,105.1,8,NA,NA
"99",26519380192,4,5,-45,6,NA,NA
"100",26519380192,5,6,20,6,NA,NA
"101",26519380192,6,7,87.9999999999999,6,NA,NA
"102",27462844289,1,2,64,4,0.138157894736842,"0.263157894736842"
"103",27462844289,2,3,110,3,0.171052631578947,"0.157894736842105"
"104",27462844289,3,4,46,2,0.144736842105263,"0.131578947368421"
"105",27462844289,4,5,214,6,0.125,"0.105263157894737"
"106",27462844289,5,6,46,2,0.131578947368421,"0.131578947368421"
"107",35540978058,1,2,111.2,4,0.25,"0.4"
"108",35540978058,2,3,110,1,0.375,"0.4"
"109",35540978058,3,4,31.4,4,0.125,"."
"110",35540978058,4,5,-30.1,4,NA,NA
"111",35674260254,1,2,22.5,2,NA,NA
"112",35674260254,2,3,22,2,NA,NA
"113",35674260254,3,4,46,2,NA,NA
"114",35674260254,4,5,62,3,NA,NA
"115",35674260254,5,6,62,2,NA,NA
"116",35674260254,6,7,6,2,NA,NA
"117",35674260254,7,8,-70,3,NA,NA
"118",36513357018,1,2,350.5,11,NA,NA
"119",36513357018,2,3,57.5,3,NA,NA
"120",36513357018,3,4,32,2,NA,NA
"121",36513357018,4,5,16,2,NA,NA
"122",36574928690,1,2,45,2,NA,NA
"123",36574928690,2,3,-90.99,7,NA,NA
"124",36574928690,3,4,83.99,2,NA,NA
"125",36574928690,4,5,120,0,NA,NA
"126",36613205733,1,2,-18,6,NA,NA
"127",36613205733,2,3,26.01,3,NA,NA
"128",36613205733,3,4,20,2,NA,NA
"129",36613205733,4,5,-75,7,NA,NA
"130",36613205733,5,6,83.99,3,NA,NA
"131",36910165248,1,2,26.08,2,0.0854700854700855,"0.0925925925925926"
"132",36910165248,2,3,-146.08,7,0.0427350427350427,"0.0555555555555556"
"133",36910165248,3,4,26.08,2,0.094017094017094,"0.0740740740740741"
"134",36910165248,4,5,70,2,0.0854700854700855,"0.0740740740740741"
