"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","item_sales","bundle_sales","filterted_item_sales","filtered_bundle_sales","share","filtered_item_share"
"36",19999809846,2,21,19,7,7,5,5,21,5,3120,326,188,270,326,20,-56,-0.0179487179487179,FALSE,"42","5","25","3","0.119047619047619","0.12"
"37",19999809846,3,23,21,9,9,5,5,23,5,3190,506,368,340,506,22,-166,-0.0520376175548589,FALSE,"42","4","25","4","0.0952380952380952","0.16"
"38",19999809846,4,26,24,10,10,6,6,26,5,3250,665,407,400,665,25,-265,-0.0815384615384615,FALSE,"42","5","25","1","0.119047619047619","0.04"
"39",19999809846,5,27,25,10,10,6,6,27,5,3290,731,418,440,731,26,-291,-0.0884498480243161,FALSE,"42","4","25","2","0.0952380952380952","0.08"
"40",19999809846,6,28,26,10,10,7,7,28,5,3350,755,432,500,755,27,-255,-0.0761194029850746,FALSE,"42","2","25","2","0.0476190476190476","0.08"
"41",19999809846,7,29,27,10,10,8,8,29,5,3400,781,443,550,781,28,-231,-0.0679411764705882,FALSE,"42","2","25","1","0.0476190476190476","0.04"
"42",19999809846,8,29,27,0,0,8,8,29,5,3470,803,0,620,803,28,-183,-0.0527377521613833,FALSE,"42","2","25","2","0.0476190476190476","0.08"
"43",20167630571,1,12,12,12,12,2,2,12,0,3010,280,280,230,280,12,-50,-0.0166112956810631,TRUE,"107","13","66","3","0.121495327102804","0.0454545454545455"
"44",20167630571,2,14,14,14,14,4,4,14,0,3080,350,350,300,350,14,-50,-0.0162337662337662,TRUE,"107","34","66","21","0.317757009345794","0.318181818181818"
"45",20167630571,3,14,14,14,14,4,4,14,0,3120,361,361,340,361,14,-21,-0.00673076923076923,TRUE,"107","23","66","14","0.214953271028037","0.212121212121212"
"46",20167630571,4,14,14,14,14,4,4,14,0,3190,398,398,410,398,14,12,0.00376175548589342,TRUE,"107","22","66","16","0.205607476635514","0.242424242424242"
"47",20167630571,5,16,16,16,16,4,4,16,0,3450,448,448,670,448,16,222,0.0643478260869565,TRUE,"107","12","66","10","0.11214953271028","0.151515151515152"
"48",20186366493,1,16,14,9,7,1,1,16,2,3340,370,145,230,370,16,-140,-0.0419161676646707,TRUE,"0","0","0","0","0","0"
"49",20186366493,2,17,15,10,8,1,1,17,2,3380,410,185,270,410,17,-140,-0.0414201183431953,TRUE,"0","0","0","0","0","0"
"50",20186366493,3,17,15,10,8,1,1,17,2,3410,415,190,300,415,17,-115,-0.0337243401759531,TRUE,"0","0","0","0","0","0"
"51",20186366493,4,17,15,10,8,1,1,17,2,3450,430,205,340,430,17,-90,-0.0260869565217391,TRUE,"0","0","0","0","0","0"
"52",20186366493,5,18,16,11,9,1,1,18,2,3500,470,245,390,470,18,-80,-0.0228571428571429,TRUE,"0","0","0","0","0","0"
"53",20186366493,6,18,16,11,9,1,1,18,2,3530,475,250,420,475,18,-55,-0.0155807365439093,TRUE,"0","0","0","0","0","0"
"54",20186366493,7,18,16,11,9,1,1,18,2,3610,485,260,500,485,18,15,0.00415512465373961,TRUE,"0","0","0","0","0","0"
"55",20186366493,8,18,16,11,9,1,1,18,2,3640,490,265,530,490,18,40,0.010989010989011,TRUE,"0","0","0","0","0","0"
"56",20373091017,1,9,9,2,2,0,0,9,0,3190,230,60,240,230,9,10,0.00313479623824451,TRUE,"1","1","0","0","1","0"
"57",20373091017,2,9,9,2,2,0,0,9,0,3210,245,60,260,245,9,15,0.00467289719626168,TRUE,"0","0","0","0","0","0"
"58",20373091017,3,9,9,2,2,0,0,9,0,3260,280,60,310,280,9,30,0.00920245398773006,TRUE,"0","0","0","0","0","0"
"59",20728727154,1,11,11,6,6,2,2,11,0,3538,320,255,180,320,11,-140,-0.0395703787450537,TRUE,"0","0","0","0","0","0"
"60",20728727154,2,13,13,8,8,3,3,13,0,3658,415,350,300,415,13,-115,-0.0314379442318207,TRUE,"0","0","0","0","0","0"
"61",20728727154,3,13,13,8,8,3,3,13,0,3768,535,470,410,535,13,-125,-0.0331740976645435,TRUE,"0","0","0","0","0","0"
"62",20728727154,4,14,14,8,8,3,3,14,0,3958,665,470,600,665,14,-65,-0.016422435573522,TRUE,"0","0","0","0","0","0"
"63",20728727154,5,14,14,8,8,4,4,14,1,4088,550,355,730,550,14,180,0.0440313111545988,TRUE,"0","0","0","0","0","0"
"64",20728727154,6,14,14,8,8,5,5,14,0,4188,640,445,830,640,14,190,0.0453677172874881,TRUE,"0","0","0","0","0","0"
"65",20728727154,7,14,14,8,8,5,5,14,0,4358,660,465,1000,660,14,340,0.07801743919229,TRUE,"0","0","0","0","0","0"
"66",20728727154,8,16,16,10,10,5,5,16,0,4500,770,575,1142,770,16,372,0.0826666666666667,TRUE,"0","0","0","0","0","0"
"67",23896264169,1,9,8,3,3,6,6,9,1,3350,259,219,200,259,9,-59,-0.0176119402985075,TRUE,"0","0","0","0","0","0"
"68",23896264169,2,11,10,4,4,9,9,11,1,3450,324,264,300,324,11,-24,-0.00695652173913044,TRUE,"0","0","0","0","0","0"
"69",23896264169,3,10,9,3,3,8,8,10,1,3450,223,163,300,223,10,77,0.0223188405797101,TRUE,"0","0","0","0","0","0"
