"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"126",36613205733,1,2,-18,6,NA,NA
"127",36613205733,1,3,8.00999999999999,7,NA,NA
"128",36613205733,1,4,28.01,9,NA,NA
"129",36613205733,1,5,-46.99,12,NA,NA
"130",36613205733,5,6,83.99,3,NA,NA
"131",36910165248,1,2,26.08,2,0.0854700854700855,"0.0925925925925926"
"132",36910165248,1,3,-120,5,0.0427350427350427,"0.0555555555555556"
"133",36910165248,1,4,-93.92,7,0.094017094017094,"0.0740740740740741"
"134",36910165248,1,5,-23.92,7,0.0854700854700855,"0.0740740740740741"
"135",36910165248,5,6,-19.9999999999999,6,0.0170940170940171,"0.0185185185185185"
"136",36910165248,5,7,50.0000000000001,4,0.136752136752137,"0.12962962962963"
"137",36910165248,5,8,-19.9999999999999,6,0.0256410256410256,"."
"138",36982442137,1,2,-196.99,9,NA,NA
"139",36982442137,1,3,268,10,NA,NA
"140",36982442137,1,4,324,10,NA,NA
"141",36982442137,1,5,361.1,14,NA,NA
"142",36982442137,5,6,26,2,NA,NA
"143",36982442137,5,7,261.9,2,NA,NA
"144",37241107923,1,2,75.1,3,NA,NA
"145",37443266749,1,2,13,2,NA,NA
"146",37443266749,1,3,28,2,NA,NA
"147",37443266749,1,4,15,1,NA,NA
"148",37443266749,1,5,27,3,NA,NA
"149",37443266749,5,6,16,2,NA,NA
"150",37745552927,1,2,91.18,5,NA,NA
"151",37745552927,1,3,91.18,7,NA,NA
"152",37745552927,1,4,171.18,11,NA,NA
"153",37994506504,1,2,23.6,2,0.12,"0.141025641025641"
"154",37994506504,1,3,78.5,2,0.0333333333333333,"0.0641025641025641"
"155",37994506504,1,4,85,4,0.16,"0.179487179487179"
"156",37994506504,1,5,150,1,0.1,"0.141025641025641"
"157",37994506504,5,6,-26.4,3,0.08,"0.0769230769230769"
"158",37994506504,5,7,23.6,3,0.166666666666667,"0.0897435897435897"
"159",37994506504,5,8,35.0000000000001,5,0.113333333333333,"0.141025641025641"
"160",38631814095,1,2,11,7,NA,NA
"161",38663832002,1,2,22.5,2,0.0333333333333333,"0.0425531914893617"
"162",38663832002,1,3,64.5,2,0.133333333333333,"0.0638297872340425"
