"","item_id","item_sales","bundle_index","bundle_sales","filterted_item_sales","filtered_bundle_sales","share","filtered_item_share"
"86",36423834273,23,"1",4,"8","1",0.173913043478261,"0.125"
"87",36423834273,23,"2",2,"8",".",0.0869565217391304,"."
"88",36423834273,23,"3",5,"8","1",0.217391304347826,"0.125"
"89",36423834273,23,"4",2,"8","1",0.0869565217391304,"0.125"
"90",36423834273,23,"5",4,"8","3",0.173913043478261,"0.375"
"91",36423834273,23,"7",1,"8","1",0.0434782608695652,"0.125"
"92",36423834273,23,"8",4,"8","1",0.173913043478261,"0.125"
"93",36564498121,3,"0",1,".",".",0.333333333333333,"."
"94",36564498121,3,"1",1,".",".",0.333333333333333,"."
"95",36564498121,3,"4",1,".",".",0.333333333333333,"."
"96",36910165248,117,"0",60,"54","30",0.512820512820513,"0.555555555555556"
"97",36910165248,117,"1",10,"54","5",0.0854700854700855,"0.0925925925925926"
"98",36910165248,117,"2",5,"54","3",0.0427350427350427,"0.0555555555555556"
"99",36910165248,117,"3",11,"54","4",0.094017094017094,"0.0740740740740741"
"100",36910165248,117,"4",10,"54","4",0.0854700854700855,"0.0740740740740741"
"101",36910165248,117,"5",2,"54","1",0.0170940170940171,"0.0185185185185185"
"102",36910165248,117,"6",16,"54","7",0.136752136752137,"0.12962962962963"
"103",36910165248,117,"7",3,"54",".",0.0256410256410256,"."
"104",36977369678,11,"0",4,"1",".",0.363636363636364,"."
"105",36977369678,11,"3",5,"1",".",0.454545454545455,"."
"106",36977369678,11,"4",1,"1","1",0.0909090909090909,"1"
"107",36977369678,11,"5",1,"1",".",0.0909090909090909,"."
"108",37443266749,3,"0",2,"1","1",0.666666666666667,"1"
"109",37443266749,3,"6",1,"1",".",0.333333333333333,"."
"110",37743375189,1,"3",1,".",".",1,"."
"111",37994506504,150,"0",16,"78","9",0.106666666666667,"0.115384615384615"
"112",37994506504,150,"1",18,"78","11",0.12,"0.141025641025641"
"113",37994506504,150,"2",5,"78","5",0.0333333333333333,"0.0641025641025641"
"114",37994506504,150,"3",24,"78","14",0.16,"0.179487179487179"
"115",37994506504,150,"4",15,"78","11",0.1,"0.141025641025641"
"116",37994506504,150,"5",12,"78","6",0.08,"0.0769230769230769"
"117",37994506504,150,"6",25,"78","7",0.166666666666667,"0.0897435897435897"
"118",37994506504,150,"7",17,"78","11",0.113333333333333,"0.141025641025641"
"119",37994506504,150,"8",18,"78","4",0.12,"0.0512820512820513"
"120",38022677471,9,"0",3,"2",".",0.333333333333333,"."
"121",38022677471,9,"1",1,"2",".",0.111111111111111,"."
"122",38022677471,9,"2",5,"2","2",0.555555555555556,"1"
"123",38663832002,120,"0",7,"47","7",0.0583333333333333,"0.148936170212766"
"124",38663832002,120,"1",4,"47","2",0.0333333333333333,"0.0425531914893617"
"125",38663832002,120,"2",16,"47","3",0.133333333333333,"0.0638297872340425"
"126",38663832002,120,"3",22,"47","9",0.183333333333333,"0.191489361702128"
"127",38663832002,120,"4",12,"47","2",0.1,"0.0425531914893617"
"128",38663832002,120,"5",24,"47","8",0.2,"0.170212765957447"
"129",38663832002,120,"6",18,"47","7",0.15,"0.148936170212766"
"130",38663832002,120,"7",9,"47","4",0.075,"0.0851063829787234"
"131",38663832002,120,"8",8,"47","5",0.0666666666666667,"0.106382978723404"
"132",38708270318,19,"2",2,"5",".",0.105263157894737,"."
"133",38708270318,19,"3",8,"5","2",0.421052631578947,"0.4"
"134",38708270318,19,"4",3,"5","1",0.157894736842105,"0.2"
"135",38708270318,19,"5",2,"5",".",0.105263157894737,"."
"136",38708270318,19,"6",2,"5","1",0.105263157894737,"0.2"
"137",38708270318,19,"7",1,"5",".",0.0526315789473684,"."
"138",38708270318,19,"8",1,"5","1",0.0526315789473684,"0.2"
"139",38901415740,1,"5",1,"1","1",1,"1"
"140",39004731962,153,"0",49,".",".",0.320261437908497,"."
"141",39004731962,153,"1",29,".",".",0.189542483660131,"."
"142",39004731962,153,"2",32,".",".",0.209150326797386,"."
"143",39004731962,153,"3",26,".",".",0.169934640522876,"."
"144",39004731962,153,"4",5,".",".",0.0326797385620915,"."
"145",39004731962,153,"5",12,".",".",0.0784313725490196,"."
"146",39039652137,2,"1",2,".",".",1,"."
"147",39237426326,125,"0",13,"37","4",0.104,"0.108108108108108"
"148",39237426326,125,"1",29,"37","8",0.232,"0.216216216216216"
"149",39237426326,125,"2",44,"37","8",0.352,"0.216216216216216"
"150",39237426326,125,"3",26,"37","10",0.208,"0.27027027027027"
"151",39237426326,125,"4",13,"37","7",0.104,"0.189189189189189"
"152",39319917547,3,"0",1,".",".",0.333333333333333,"."
"153",39319917547,3,"3",2,".",".",0.666666666666667,"."
"154",39506655577,3,"2",2,".",".",0.666666666666667,"."
"155",39506655577,3,"3",1,".",".",0.333333333333333,"."
"156",39715936876,1,"Ä¬ÈÏ¿îÊ½",1,".",".",1,"."
"157",40018763001,17,"1",16,".",".",0.941176470588235,"."
"158",40018763001,17,"5",1,".",".",0.0588235294117647,"."
"159",40175359932,9,"0",8,"8","8",0.888888888888889,"1"
"160",40175359932,9,"1",1,"8",".",0.111111111111111,"."
"161",40275639106,37,"0",14,"2",".",0.378378378378378,"."
"162",40275639106,37,"1",7,"2",".",0.189189189189189,"."
"163",40275639106,37,"2",5,"2",".",0.135135135135135,"."
"164",40275639106,37,"3",3,"2","1",0.0810810810810811,"0.5"
"165",40275639106,37,"7",1,"2",".",0.027027027027027,"."
"166",40275639106,37,"8",7,"2","1",0.189189189189189,"0.5"
"167",40452911197,4,"0",1,"3","1",0.25,"0.333333333333333"
"168",40452911197,4,"2",1,"3","1",0.25,"0.333333333333333"
"169",40452911197,4,"4",1,"3","1",0.25,"0.333333333333333"
"170",40452911197,4,"7",1,"3",".",0.25,"."
"171",40565901878,2,"0",2,"1","1",1,"1"
"172",41802068265,150,"0",54,"55","17",0.36,"0.309090909090909"
"173",41802068265,150,"1",24,"55","11",0.16,"0.2"
"174",41802068265,150,"2",17,"55","6",0.113333333333333,"0.109090909090909"
"175",41802068265,150,"3",11,"55","3",0.0733333333333333,"0.0545454545454545"
"176",41802068265,150,"4",18,"55","9",0.12,"0.163636363636364"
"177",41802068265,150,"5",11,"55","4",0.0733333333333333,"0.0727272727272727"
"178",41802068265,150,"6",4,"55","2",0.0266666666666667,"0.0363636363636364"
"179",41802068265,150,"7",5,"55","1",0.0333333333333333,"0.0181818181818182"
"180",41802068265,150,"8",6,"55","2",0.04,"0.0363636363636364"
"181",42395844697,104,"0",29,"46","6",0.278846153846154,"0.130434782608696"
"182",42395844697,104,"1",8,"46","4",0.0769230769230769,"0.0869565217391304"
"183",42395844697,104,"2",1,"46","1",0.00961538461538462,"0.0217391304347826"
"184",42395844697,104,"3",5,"46","2",0.0480769230769231,"0.0434782608695652"
"185",42395844697,104,"4",5,"46","4",0.0480769230769231,"0.0869565217391304"
"186",42395844697,104,"5",4,"46","4",0.0384615384615385,"0.0869565217391304"
"187",42395844697,104,"6",4,"46","4",0.0384615384615385,"0.0869565217391304"
"188",42395844697,104,"7",48,"46","21",0.461538461538462,"0.456521739130435"
"189",42468840454,26,"0",8,"8","8",0.307692307692308,"1"
"190",42468840454,26,"1",18,"8",".",0.692307692307692,"."
"191",42954867022,151,"0",42,"141","37",0.278145695364238,"0.26241134751773"
"192",42954867022,151,"1",60,"141","55",0.397350993377483,"0.390070921985816"
"193",42954867022,151,"2",36,"141","36",0.23841059602649,"0.25531914893617"
"194",42954867022,151,"3",10,"141","10",0.0662251655629139,"0.0709219858156028"
"195",42954867022,151,"4",3,"141","3",0.0198675496688742,"0.0212765957446809"
"196",43081453457,200,"0",200,".",".",1,"."
"197",43452978184,1,"4",1,".",".",1,"."
"198",43677158704,41,"0",6,".",".",0.146341463414634,"."
"199",43677158704,41,"1",1,".",".",0.024390243902439,"."
"200",43677158704,41,"2",1,".",".",0.024390243902439,"."
"201",43677158704,41,"3",3,".",".",0.0731707317073171,"."
"202",43677158704,41,"4",14,".",".",0.341463414634146,"."
"203",43677158704,41,"5",9,".",".",0.219512195121951,"."
"204",43677158704,41,"6",4,".",".",0.0975609756097561,"."
"205",43677158704,41,"8",3,".",".",0.0731707317073171,"."
"206",43733540866,150,"0",22,"140","20",0.146666666666667,"0.142857142857143"
"207",43733540866,150,"1",29,"140","26",0.193333333333333,"0.185714285714286"
"208",43733540866,150,"2",11,"140","11",0.0733333333333333,"0.0785714285714286"
"209",43733540866,150,"3",29,"140","28",0.193333333333333,"0.2"
"210",43733540866,150,"4",8,"140","8",0.0533333333333333,"0.0571428571428571"
"211",43733540866,150,"5",9,"140","8",0.06,"0.0571428571428571"
"212",43733540866,150,"6",15,"140","15",0.1,"0.107142857142857"
"213",43733540866,150,"7",16,"140","13",0.106666666666667,"0.0928571428571429"
"214",43733540866,150,"8",11,"140","11",0.0733333333333333,"0.0785714285714286"
"215",43736454825,159,"0",18,"83","15",0.113207547169811,"0.180722891566265"
"216",43736454825,159,"1",7,"83","5",0.0440251572327044,"0.0602409638554217"
"217",43736454825,159,"2",4,"83","1",0.0251572327044025,"0.0120481927710843"
"218",43736454825,159,"3",22,"83","12",0.138364779874214,"0.144578313253012"
"219",43736454825,159,"4",62,"83","21",0.389937106918239,"0.253012048192771"
"220",43736454825,159,"5",27,"83","13",0.169811320754717,"0.156626506024096"
"221",43736454825,159,"6",14,"83","12",0.0880503144654088,"0.144578313253012"
"222",43736454825,159,"7",2,"83","2",0.0125786163522013,"0.0240963855421687"
"223",43736454825,159,"8",3,"83","2",0.0188679245283019,"0.0240963855421687"
"224",43853759026,1,"0",1,".",".",1,"."
"225",43859660891,1,"0",1,"1","1",1,"1"
"226",43943409767,12,"0",2,"6","2",0.166666666666667,"0.333333333333333"
"227",43943409767,12,"1",3,"6","3",0.25,"0.5"
"228",43943409767,12,"2",2,"6","1",0.166666666666667,"0.166666666666667"
"229",43943409767,12,"4",2,"6",".",0.166666666666667,"."
"230",43943409767,12,"5",3,"6",".",0.25,"."
"231",44021641588,24,"0",15,"8","5",0.625,"0.625"
"232",44021641588,24,"1",2,"8",".",0.0833333333333333,"."
"233",44021641588,24,"2",2,"8",".",0.0833333333333333,"."
"234",44021641588,24,"3",2,"8","2",0.0833333333333333,"0.25"
"235",44021641588,24,"4",3,"8","1",0.125,"0.125"
"236",44717295507,50,"0",10,"11","3",0.2,"0.272727272727273"
"237",44717295507,50,"1",3,"11","1",0.06,"0.0909090909090909"
"238",44717295507,50,"3",7,"11",".",0.14,"."
"239",44717295507,50,"4",7,"11","1",0.14,"0.0909090909090909"
"240",44717295507,50,"5",5,"11","1",0.1,"0.0909090909090909"
"241",44717295507,50,"6",11,"11","3",0.22,"0.272727272727273"
"242",44717295507,50,"7",2,"11","1",0.04,"0.0909090909090909"
"243",44717295507,50,"8",5,"11","1",0.1,"0.0909090909090909"
"244",44799642380,150,"0",16,"44","6",0.106666666666667,"0.136363636363636"
"245",44799642380,150,"1",61,"44","18",0.406666666666667,"0.409090909090909"
"246",44799642380,150,"2",29,"44","11",0.193333333333333,"0.25"
"247",44799642380,150,"3",13,"44","4",0.0866666666666667,"0.0909090909090909"
"248",44799642380,150,"4",8,"44","1",0.0533333333333333,"0.0227272727272727"
"249",44799642380,150,"5",4,"44","2",0.0266666666666667,"0.0454545454545455"
"250",44799642380,150,"6",8,"44","2",0.0533333333333333,"0.0454545454545455"
"251",44799642380,150,"7",8,"44",".",0.0533333333333333,"."
"252",44799642380,150,"8",3,"44",".",0.02,"."
"253",44929144235,1,"0",1,".",".",1,"."
"254",45200287220,75,"0",21,"49","9",0.28,"0.183673469387755"
"255",45200287220,75,"1",15,"49","10",0.2,"0.204081632653061"
"256",45200287220,75,"2",10,"49","8",0.133333333333333,"0.163265306122449"
"257",45200287220,75,"3",12,"49","10",0.16,"0.204081632653061"
"258",45200287220,75,"4",3,"49","3",0.04,"0.0612244897959184"
"259",45200287220,75,"5",5,"49","3",0.0666666666666667,"0.0612244897959184"
"260",45200287220,75,"6",7,"49","5",0.0933333333333333,"0.102040816326531"
"261",45200287220,75,"7",1,"49",".",0.0133333333333333,"."
"262",45200287220,75,"8",1,"49","1",0.0133333333333333,"0.0204081632653061"
