"","X.x","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","benchmark","total_n_of_a","total_price_of_a","premium_minus_a","perc_premrel1","premium_minus_a_perc","Author","diff","diff_minus_a","X.y","item_sales","bundle_sales","filterted_item_sales","filtered_bundle_sales","share","filtered_item_share"
"24",24,18999829018,"3",9,9,7,7,9,9,0,1,3260,370,320,80,70,0,10,0.00306748466257669,FALSE,10,2840,1,30,-20,0.00352112676056338,-0.00704225352112676,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"25",25,18999829018,"4",10,10,8,8,10,10,0,1,3260,400,350,80,100,1,-20,-0.00613496932515337,FALSE,-20,2840,0,0,-20,-0.00704225352112676,-0.00704225352112676,"suyang",1,1,NA,NA,".",NA,NA,".",NA
"26",26,18999829018,"5",10,10,8,8,10,10,0,1,3350,440,390,170,140,1,30,0.00895522388059702,FALSE,30,2840,1,30,0,0.0105633802816901,0,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"27",27,18999829018,"6",10,10,8,8,10,10,0,1,3560,470,420,380,170,1,210,0.0589887640449438,FALSE,210,2840,1,30,180,0.073943661971831,0.0633802816901408,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"28",28,18999829018,"7",12,12,9,9,12,12,0,1,3510,615,520,330,315,3,15,0.00427350427350427,FALSE,15,2840,1,30,-15,0.00528169014084507,-0.00528169014084507,"suyang",5,4,NA,NA,".",NA,NA,".",NA
"29",29,18999829018,"8",12,12,9,9,12,12,0,1,3610,735,640,430,435,3,-5,-0.00138504155124654,FALSE,-5,2840,2,140,-145,-0.00176056338028169,-0.051056338028169,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"30",30,19999809846,"2",21,19,7,7,5,5,0,5,3120,403,185,40,-5,0,45,0.0144230769230769,FALSE,45,2850,1,35,10,0.0157894736842105,0.00350877192982456,"suyang",2,1,27,42,"4",25,4,"0.1",0.16
"31",31,19999809846,"3",23,21,9,9,5,5,0,5,3190,603,385,110,195,2,-85,-0.0266457680250784,FALSE,-85,2850,2,85,-170,-0.0298245614035088,-0.0596491228070175,"suyang",6,4,28,42,"5",25,1,"0.12",0.04
"32",32,19999809846,"4",26,24,10,10,6,6,0,5,3250,788,450,170,380,5,-210,-0.0646153846153846,FALSE,-210,2850,1,50,-260,-0.0736842105263158,-0.0912280701754386,"suyang",7,6,29,42,"4",25,2,"0.1",0.08
"37",37,20167630571,"2",14,14,14,14,4,4,0,0,3080,428,428,70,80,2,-10,-0.00324675324675325,FALSE,-10,2780,2,60,-70,-0.00359712230215827,-0.0251798561151079,"suyang",4,2,44,107,"23",66,14,"0.21",0.21
"38",38,20167630571,"3",14,14,14,14,4,4,0,0,3120,423,423,110,75,2,35,0.0112179487179487,FALSE,35,2780,3,95,-60,0.012589928057554,-0.0215827338129496,"suyang",6,3,45,107,"22",66,16,"0.21",0.24
"39",39,20167630571,"4",14,14,14,14,4,4,0,0,3190,458,458,180,110,2,70,0.0219435736677116,FALSE,70,2780,4,110,-40,0.0251798561151079,-0.0143884892086331,"suyang",8,4,46,107,"12",66,10,"0.11",0.15
"40",40,20167630571,"5",16,16,16,16,4,4,0,0,3450,523,523,440,175,4,265,0.0768115942028986,FALSE,265,2780,3,95,170,0.0953237410071942,0.0611510791366906,"suyang",8,5,47,107,"3",66,2,"0.03",0.03
"41",41,20186366493,"2",17,15,10,8,1,1,0,2,5120,495,260,40,55,1,-15,-0.0029296875,FALSE,-15,3110,1,20,-35,-0.00482315112540193,-0.0112540192926045,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"42",42,20186366493,"3",17,15,10,8,1,1,0,2,5150,500,265,70,60,1,10,0.00194174757281553,FALSE,10,3110,1,20,-10,0.00321543408360129,-0.00321543408360129,"suyang",3,2,NA,NA,".",NA,NA,".",NA
"43",43,20186366493,"4",17,15,10,8,1,1,0,2,5190,500,265,110,60,1,50,0.00963391136801541,FALSE,50,3110,0,0,50,0.0160771704180064,0.0160771704180064,"suyang",1,1,NA,NA,".",NA,NA,".",NA
"44",44,20186366493,"5",18,16,11,9,1,1,0,2,5240,555,320,160,115,2,45,0.00858778625954199,FALSE,45,3110,1,20,25,0.0144694533762058,0.00803858520900321,"suyang",4,3,NA,NA,".",NA,NA,".",NA
"45",45,20186366493,"6",18,16,11,9,1,1,0,2,5270,560,325,190,120,2,70,0.0132827324478178,FALSE,70,3110,1,20,50,0.022508038585209,0.0160771704180064,"suyang",4,3,NA,NA,".",NA,NA,".",NA
"46",46,20186366493,"7",18,16,11,9,1,1,0,2,5350,570,335,270,130,2,140,0.0261682242990654,FALSE,140,3110,1,20,120,0.045016077170418,0.0385852090032154,"suyang",4,3,NA,NA,".",NA,NA,".",NA
"47",47,20186366493,"8",18,16,11,9,1,1,0,2,5380,575,340,300,135,2,165,0.0306691449814126,FALSE,165,3110,1,20,145,0.0530546623794212,0.0466237942122186,"suyang",4,3,NA,NA,".",NA,NA,".",NA
"48",48,20373091017,"2",9,9,2,2,0,0,0,0,3130,250,65,20,15,0,5,0.00159744408945687,FALSE,5,2950,1,40,-35,0.00169491525423729,-0.011864406779661,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"49",49,20373091017,"3",9,9,2,2,0,0,0,0,3130,285,65,20,50,0,-30,-0.00958466453674121,FALSE,-30,2950,1,40,-70,-0.0101694915254237,-0.023728813559322,"suyang",2,1,NA,NA,".",NA,NA,".",NA
"50",50,20728727154,"2",13,13,8,8,3,3,0,0,3658,615,530,120,170,2,-50,-0.0136686714051394,FALSE,-50,3358,3,50,-100,-0.0148898153662895,-0.0297796307325789,"suyang",6,3,NA,NA,".",NA,NA,".",NA
"51",51,20728727154,"3",13,13,8,8,3,3,0,0,3768,790,705,230,345,2,-115,-0.03052016985138,FALSE,-115,3358,4,180,-295,-0.0342465753424658,-0.0878499106611078,"suyang",8,4,NA,NA,".",NA,NA,".",NA
"52",52,20728727154,"4",14,14,8,8,3,3,0,0,3958,835,620,420,390,3,30,0.00757958564931784,FALSE,30,3358,4,180,-150,0.00893388921977368,-0.0446694460988684,"suyang",9,5,NA,NA,".",NA,NA,".",NA
"53",53,20728727154,"5",14,14,8,8,4,4,0,1,4088,960,745,550,515,3,35,0.00856164383561644,FALSE,35,3358,5,330,-295,0.0104228707564026,-0.0878499106611078,"suyang",13,8,NA,NA,".",NA,NA,".",NA
"54",54,20728727154,"6",14,14,8,8,5,5,0,0,4188,920,705,650,475,3,175,0.0417860553963706,FALSE,175,3358,5,330,-155,0.0521143537820131,-0.0461584276354973,"suyang",13,8,NA,NA,".",NA,NA,".",NA
"55",55,20728727154,"7",14,14,8,8,5,5,0,0,4358,920,705,820,475,3,345,0.0791647544745296,FALSE,345,3358,5,330,15,0.102739726027397,0.00446694460988684,"suyang",13,8,NA,NA,".",NA,NA,".",NA
"56",56,20728727154,"8",16,16,10,10,5,5,0,0,4500,1060,845,962,615,5,347,0.0771111111111111,FALSE,347,3358,5,330,17,0.103335318642049,0.00506253722453842,"suyang",15,10,NA,NA,".",NA,NA,".",NA
"57",57,23896264169,"2",11,10,4,4,9,9,0,1,3450,560,410,100,165,2,-65,-0.0188405797101449,FALSE,-65,3150,1,100,-165,-0.0206349206349206,-0.0523809523809524,"suyang",4,3,NA,NA,".",NA,NA,".",NA
"58",58,23896264169,"3",10,9,3,3,8,8,0,1,3450,515,365,100,120,1,-20,-0.00579710144927536,FALSE,-20,3150,2,145,-165,-0.00634920634920635,-0.0523809523809524,"suyang",5,3,NA,NA,".",NA,NA,".",NA
"59",59,23896264169,"4",12,11,4,4,10,10,0,1,3550,635,465,200,240,3,-40,-0.0112676056338028,FALSE,-40,3150,2,145,-185,-0.0126984126984127,-0.0587301587301587,"suyang",7,5,NA,NA,".",NA,NA,".",NA
"60",60,23896264169,"5",13,12,5,5,11,11,0,1,3650,620,450,300,225,4,75,0.0205479452054795,FALSE,75,3150,2,145,-70,0.0238095238095238,-0.0222222222222222,"suyang",8,6,NA,NA,".",NA,NA,".",NA
"61",61,23896264169,"6",13,12,5,5,11,11,0,1,3800,900,730,450,505,4,-55,-0.0144736842105263,FALSE,-55,3150,3,345,-400,-0.0174603174603175,-0.126984126984127,"suyang",10,7,NA,NA,".",NA,NA,".",NA
"62",62,23896264169,"7",13,12,5,5,11,11,0,1,3920,958,788,570,563,4,7,0.00178571428571429,FALSE,7,3150,3,345,-338,0.00222222222222222,-0.107301587301587,"suyang",10,7,NA,NA,".",NA,NA,".",NA
"63",63,23896264169,"8",13,12,6,6,11,11,0,1,4050,1058,988,700,663,4,37,0.0091358024691358,FALSE,37,3150,3,345,-308,0.0117460317460317,-0.0977777777777778,"suyang",10,7,NA,NA,".",NA,NA,".",NA
