"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","benchmark","premium_minus_a","premium_minus_a_perc","Author","diff","diff_minus_a"
"1",16831203027,2,14,12,2,2,3,3,0,4,2990,345,185,30,13,0,17,0.00568561872909699,FALSE,17,2750,-5,-0.00181818181818182,"suyang",2,1
"2",16831203027,3,15,13,2,2,3,3,0,4,3042,355,180,82,23,1,59,0.0193951347797502,FALSE,59,2750,37,0.0134545454545455,"suyang",2,1
"3",16831203027,4,20,18,3,3,5,5,0,5,3070,563,263,110,231,6,-121,-0.039413680781759,FALSE,-121,2750,-158,-0.0574545454545455,"suyang",10,8
"4",16831203027,5,21,19,3,3,5,5,0,5,3110,573,258,150,241,7,-91,-0.0292604501607717,FALSE,-91,2750,-113,-0.0410909090909091,"suyang",9,8
"5",16831203027,6,23,21,3,3,6,6,0,6,3150,630,285,190,298,9,-108,-0.0342857142857143,FALSE,-108,2750,-130,-0.0472727272727273,"suyang",11,10
"6",16831203027,7,23,21,3,3,6,6,0,6,3220,625,280,260,293,9,-33,-0.0102484472049689,FALSE,-33,2750,-55,-0.02,"suyang",11,10
"7",16831203027,8,23,21,3,3,6,6,0,6,3310,645,300,350,313,9,37,0.011178247734139,FALSE,37,2750,15,0.00545454545454545,"suyang",11,10
"8",18053093587,2,9,9,4,4,2,2,0,0,3548,575,525,70,150,0,-80,-0.0225479143179256,FALSE,-80,3280,-330,-0.100609756097561,"suyang",2,1
"9",18053093587,3,11,10,4,4,2,2,0,1,3638,590,500,160,165,2,-5,-0.00137438152831226,FALSE,-5,3280,-340,-0.103658536585366,"suyang",8,5
"10",18053093587,4,11,10,4,4,2,2,0,1,3708,610,520,230,185,2,45,0.0121359223300971,FALSE,45,3280,-290,-0.0884146341463415,"suyang",8,5
"11",18053093587,5,14,13,6,6,5,5,0,1,3808,990,880,330,565,5,-235,-0.0617121848739496,FALSE,-235,3280,-570,-0.173780487804878,"suyang",11,8
