"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","prem_adjacent","benchmark","prem_adjacent_perc","Author","bundleindexhigh","diff"
"37",20186366493,5,18,16,11,9,1,1,0,2,5240,555,320,2130,555,18,1575,0.300572519083969,TRUE,45,25,3110,0.00803858520900321,"suyang",6,2
"38",20186366493,6,18,16,11,9,1,1,0,2,5270,560,325,2160,560,18,1600,0.303605313092979,TRUE,70,70,3110,0.022508038585209,"suyang",7,4
"39",20186366493,7,18,16,11,9,1,1,0,2,5350,570,335,2240,570,18,1670,0.31214953271028,TRUE,140,25,3110,0.00803858520900321,"suyang",8,2
"40",20373091017,2,9,9,2,2,0,0,0,0,3130,250,65,180,250,9,-70,-0.0223642172523962,TRUE,5,-35,2950,-0.011864406779661,"suyang",3,2
"41",20728727154,2,13,13,8,8,3,3,0,0,3658,615,530,300,615,13,-315,-0.0861126298523783,TRUE,-50,-65,3358,-0.0193567599761763,"suyang",3,6
"42",20728727154,3,13,13,8,8,3,3,0,0,3768,790,705,410,790,13,-380,-0.100849256900212,TRUE,-115,145,3358,0.0431804645622394,"suyang",4,5
"43",20728727154,4,14,14,8,8,3,3,0,0,3958,835,620,600,835,14,-235,-0.0593734209196564,TRUE,30,5,3358,0.00148898153662895,"suyang",5,8
"44",20728727154,5,14,14,8,8,4,4,0,1,4088,960,745,730,960,14,-230,-0.0562622309197652,TRUE,35,140,3358,0.0416914830256105,"suyang",6,4
"45",20728727154,6,14,14,8,8,5,5,0,0,4188,920,705,830,920,14,-90,-0.0214899713467049,TRUE,175,170,3358,0.0506253722453842,"suyang",7,6
"46",20728727154,7,14,14,8,8,5,5,0,0,4358,920,705,1000,920,14,80,0.018357044515833,TRUE,345,2,3358,0.000595592614651578,"suyang",8,6
"47",23896264169,2,11,10,4,4,9,9,0,1,3450,560,410,300,560,11,-260,-0.0753623188405797,TRUE,-65,45,3150,0.0142857142857143,"suyang",3,5
"48",23896264169,3,10,9,3,3,8,8,0,1,3450,515,365,300,515,10,-215,-0.0623188405797101,TRUE,-20,-20,3150,-0.00634920634920635,"suyang",4,2
"49",23896264169,4,12,11,4,4,10,10,0,1,3550,635,465,400,635,12,-235,-0.0661971830985915,TRUE,-40,115,3150,0.0365079365079365,"suyang",5,5
"50",23896264169,5,13,12,5,5,11,11,0,1,3650,620,450,500,620,13,-120,-0.0328767123287671,TRUE,75,-130,3150,-0.0412698412698413,"suyang",6,4
"51",23896264169,6,13,12,5,5,11,11,0,1,3800,900,730,650,900,13,-250,-0.0657894736842105,TRUE,-55,62,3150,0.0196825396825397,"suyang",7,4
"52",23896264169,7,13,12,5,5,11,11,0,1,3920,958,788,770,958,13,-188,-0.0479591836734694,TRUE,7,30,3150,0.00952380952380952,"suyang",8,2
"53",23924620234,2,32,32,18,18,8,8,0,0,3540,1170,910,140,1170,32,-1030,-0.290960451977401,TRUE,-610,-100,3400,-0.0294117647058824,"suyang",3,6
"54",23924620234,3,34,34,20,20,10,10,0,0,3580,1310,1050,180,1310,34,-1130,-0.315642458100559,TRUE,-710,-233,3400,-0.0685294117647059,"suyang",4,12
"55",23924620234,4,40,40,23,23,16,16,0,0,3680,1643,1283,280,1643,40,-1363,-0.370380434782609,TRUE,-943,20,3400,0.00588235294117647,"suyang",5,4
"56",23924620234,5,40,40,23,23,16,16,0,0,3720,1663,1303,320,1663,40,-1343,-0.361021505376344,TRUE,-923,-30,3400,-0.00882352941176471,"suyang",6,2
"57",23969324559,2,16,16,12,12,5,5,0,0,3160,645,540,335,645,16,-310,-0.0981012658227848,TRUE,-220,-50,2750,-0.0181818181818182,"suyang",3,4
"58",23969324559,3,18,18,14,14,7,7,0,0,3180,715,610,355,715,18,-360,-0.113207547169811,TRUE,-270,-118,2750,-0.0429090909090909,"suyang",4,8
"59",23969324559,4,20,20,15,15,9,9,0,0,3240,893,758,415,893,20,-478,-0.147530864197531,TRUE,-388,65,2750,0.0236363636363636,"suyang",5,2
"60",23969324559,5,20,20,15,15,9,9,0,0,3330,918,783,505,918,20,-413,-0.124024024024024,TRUE,-323,0,2750,0,"suyang",6,0
"61",23969324559,6,20,20,15,15,9,9,0,0,3330,918,783,505,918,20,-413,-0.124024024024024,TRUE,-323,60,2750,0.0218181818181818,"suyang",7,0
"62",23969324559,7,20,20,15,15,9,9,0,0,3390,918,783,565,918,20,-353,-0.104129793510324,TRUE,-263,90,2750,0.0327272727272727,"suyang",8,0
"63",24291960195,2,5,5,5,5,5,5,0,0,5130,158,158,1031,158,5,873,0.170175438596491,TRUE,54,10,4099,0.00243961941937058,"suyang",3,4
"64",24291960195,3,7,7,7,7,6,6,0,0,5250,268,268,1151,268,7,883,0.168190476190476,TRUE,64,200,4099,0.0487923883874116,"suyang",4,2
"65",24291960195,4,7,7,7,7,6,6,0,0,5470,288,288,1371,288,7,1083,0.197989031078611,TRUE,264,-230,4099,-0.0561112466455233,"suyang",5,4
"66",24291960195,5,7,7,7,7,6,6,0,0,5450,498,498,1351,498,7,853,0.15651376146789,TRUE,34,38,4099,0.0092705537936082,"suyang",6,2
"67",24291960195,6,7,7,7,7,6,6,0,0,5510,520,520,1411,520,7,891,0.161705989110708,TRUE,72,200,4099,0.0487923883874116,"suyang",7,2
"68",24319152517,2,7,7,7,7,0,0,0,0,3798,325,325,450,325,7,125,0.0329120589784097,TRUE,155,-283,3348,-0.0845280764635603,"suyang",3,8
"69",24319152517,3,11,11,11,11,0,0,0,0,4098,908,908,750,908,11,-158,-0.038555392874573,TRUE,-128,300,3348,0.0896057347670251,"suyang",4,6
"70",24319152517,4,11,11,11,11,0,0,0,0,4298,808,808,950,808,11,142,0.0330386226151698,TRUE,172,145,3348,0.0433094384707288,"suyang",5,1
"71",24596036343,2,12,12,7,7,6,6,0,0,3319,340,245,270,340,12,-70,-0.0210906899668575,TRUE,-20,120,3049,0.0393571662840276,"suyang",3,3
"72",24596036343,3,13,13,8,8,7,7,0,0,3479,380,285,430,380,13,50,0.0143719459614832,TRUE,100,60,3049,0.0196785831420138,"suyang",4,5
"73",24596036343,4,14,14,9,9,7,7,0,1,3599,440,345,550,440,14,110,0.0305640455682134,TRUE,160,325,3049,0.106592325352575,"suyang",5,4
"74",24596036343,5,14,14,9,9,7,7,0,2,3799,315,220,750,315,14,435,0.114503816793893,TRUE,485,70,3049,0.0229583469990161,"suyang",6,3
"75",24596036343,6,15,15,10,10,8,8,0,2,4049,495,400,1000,495,15,505,0.124722153618177,TRUE,555,-420,3049,-0.137750081994096,"suyang",7,9
"76",24596036343,7,16,16,11,11,9,9,0,0,3839,705,610,790,705,16,85,0.0221411825996353,TRUE,135,350,3049,0.11479173499508,"suyang",8,9
"77",25673844634,2,17,15,6,5,3,2,0,3,0,420,235,0,420,17,-420,-Inf,TRUE,-125,-20,NA,NA,"suyang",3,2
"78",25673844634,3,17,15,6,5,3,2,0,3,0,440,255,0,440,17,-440,-Inf,TRUE,-145,-150,NA,NA,"suyang",4,2
"79",26519380192,2,15,15,8,8,9,9,0,2,3600,268,190,340,268,15,72,0.02,TRUE,80,-30,3260,-0.00920245398773006,"suyang",3,6
"80",26519380192,3,15,15,8,8,9,9,0,1,3710,408,330,450,408,15,42,0.0113207547169811,TRUE,50,110,3260,0.0337423312883436,"suyang",4,8
"81",26519380192,4,15,15,8,8,9,9,0,1,3820,408,330,560,408,15,152,0.0397905759162304,TRUE,160,-100,3260,-0.0306748466257669,"suyang",5,6
"82",26519380192,5,17,17,10,10,10,10,0,1,3930,618,540,670,618,17,52,0.0132315521628499,TRUE,60,-60,3260,-0.0184049079754601,"suyang",6,6
"83",26519380192,6,17,17,10,10,10,10,0,1,4140,888,810,880,888,17,-8,-0.00193236714975845,TRUE,0,370,3260,0.113496932515337,"suyang",7,6
"84",27462844289,2,12,12,4,4,6,6,0,1,3260,506,295,200,506,11,-306,-0.0938650306748466,FALSE,50,95,3060,0.0310457516339869,"suyang",3,3
"85",27462844289,3,13,13,5,5,7,7,0,1,3460,611,400,400,611,12,-211,-0.0609826589595376,FALSE,145,60,3060,0.0196078431372549,"suyang",4,2
"86",27462844289,4,13,13,5,5,7,7,0,1,3540,631,420,480,631,12,-151,-0.0426553672316384,FALSE,205,200,3060,0.065359477124183,"suyang",5,6
"87",27462844289,5,15,15,7,7,9,9,0,1,3960,851,640,900,851,14,49,0.0123737373737374,FALSE,405,60,3060,0.0196078431372549,"suyang",6,2
"88",35540978058,2,11,11,5,5,4,4,0,0,3338,630,410,340,600,10,-260,-0.0778909526662672,FALSE,-65,110,2998,0.0366911274182789,"suyang",3,1
"89",35540978058,3,12,12,6,6,5,5,0,1,3448,630,410,450,600,11,-150,-0.0435034802784223,FALSE,45,158,2998,0.0527018012008005,"suyang",4,4
"90",35540978058,4,12,12,6,6,5,5,0,1,3598,622,402,600,592,11,8,0.00222345747637576,FALSE,203,-25,2998,-0.00833889259506338,"suyang",5,4
"91",35674260254,2,13,13,11,11,2,2,0,0,2930,463,353,220,463,13,-243,-0.0829351535836177,TRUE,17,45,2710,0.0166051660516605,"suyang",3,2
"92",35674260254,3,13,13,11,11,2,2,0,0,2970,458,348,260,458,13,-198,-0.0666666666666667,TRUE,62,60,2710,0.022140221402214,"suyang",4,2
"93",35674260254,4,13,13,11,11,2,2,0,0,3050,478,368,340,478,13,-138,-0.0452459016393443,TRUE,122,-20,2710,-0.00738007380073801,"suyang",5,3
"94",35674260254,5,14,14,12,12,2,2,0,0,3090,538,428,380,538,14,-158,-0.0511326860841424,TRUE,102,85,2710,0.0313653136531365,"suyang",6,2
"95",35674260254,6,14,14,12,12,2,2,0,0,3170,533,423,460,533,14,-73,-0.0230283911671924,TRUE,187,20,2710,0.00738007380073801,"suyang",7,2
"96",35674260254,7,14,14,12,12,2,2,0,0,3210,553,443,500,553,14,-53,-0.0165109034267913,TRUE,207,-70,2710,-0.025830258302583,"suyang",8,3
"97",36513357018,2,12,12,12,12,3,3,0,0,3100,442,442,150,442,12,-292,-0.0941935483870968,TRUE,268,-213,2950,-0.0722033898305085,"suyang",3,3
"98",36513357018,3,13,13,13,13,4,4,0,0,3200,755,755,250,755,13,-505,-0.1578125,TRUE,55,55,2950,0.0186440677966102,"suyang",4,2
"99",36513357018,4,13,13,13,13,4,4,0,0,3250,750,750,300,750,13,-450,-0.138461538461538,TRUE,110,30,2950,0.0101694915254237,"suyang",5,2
