"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium_percent","ind_firstbundle_noacc"
"54",20167630571,5,16,16,16,16,4,4,0,0,3450,528,670,528,16,0.0411594202898551,TRUE
"55",20186366493,0,0,0,0,0,0,0,0,0,3110,0,0,0,0,0,TRUE
"56",20186366493,1,16,14,9,7,1,1,0,2,5080,440,1970,440,16,0.301181102362205,TRUE
"57",20186366493,2,17,15,10,8,1,1,0,2,5120,495,2010,495,17,0.2958984375,TRUE
"58",20186366493,3,17,15,10,8,1,1,0,2,5150,500,2040,500,17,0.299029126213592,TRUE
"59",20186366493,4,17,15,10,8,1,1,0,2,5190,500,2080,500,17,0.304431599229287,TRUE
"60",20186366493,5,18,16,11,9,1,1,0,2,5240,555,2130,555,18,0.300572519083969,TRUE
"61",20186366493,6,18,16,11,9,1,1,0,2,5270,560,2160,560,18,0.303605313092979,TRUE
"62",20186366493,7,18,16,11,9,1,1,0,2,5350,570,2240,570,18,0.31214953271028,TRUE
"63",20186366493,8,18,16,11,9,1,1,0,2,5380,575,2270,575,18,0.315055762081784,TRUE
"64",20373091017,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,0,TRUE
"65",20373091017,1,9,9,2,2,0,0,0,0,3110,250,160,250,9,-0.0289389067524116,TRUE
"66",20373091017,2,9,9,2,2,0,0,0,0,3130,265,180,265,9,-0.0271565495207668,TRUE
"67",20373091017,3,9,9,2,2,0,0,0,0,3130,300,180,300,9,-0.0383386581469649,TRUE
"68",20728727154,0,0,0,0,0,0,0,0,0,3358,0,0,0,0,0,TRUE
"69",20728727154,1,11,11,6,6,2,2,0,0,3538,460,180,460,11,-0.0791407574901074,TRUE
"70",20728727154,2,13,13,8,8,3,3,0,0,3658,615,300,615,13,-0.0861126298523783,TRUE
"71",20728727154,3,13,13,8,8,3,3,0,0,3768,835,410,835,13,-0.112791932059448,TRUE
"72",20728727154,4,14,14,8,8,3,3,0,0,3958,880,600,880,14,-0.0707427993936331,TRUE
"73",20728727154,5,14,14,8,8,4,4,0,1,4088,990,730,990,14,-0.063600782778865,TRUE
"74",20728727154,6,14,14,8,8,5,5,0,0,4188,950,830,950,14,-0.0286532951289398,TRUE
"75",20728727154,7,14,14,8,8,5,5,0,0,4358,950,1000,950,14,0.0114731528223956,TRUE
"76",20728727154,8,16,16,10,10,5,5,0,0,4500,1090,1142,1090,16,0.0115555555555556,TRUE
"77",23896264169,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,TRUE
"78",23896264169,1,9,8,3,3,6,6,0,1,3350,395,200,395,9,-0.0582089552238806,TRUE
"79",23896264169,2,11,10,4,4,9,9,0,1,3450,560,300,560,11,-0.0753623188405797,TRUE
"80",23896264169,3,10,9,3,3,8,8,0,1,3450,515,300,515,10,-0.0623188405797101,TRUE
"81",23896264169,4,12,11,4,4,10,10,0,1,3550,635,400,635,12,-0.0661971830985915,TRUE
"82",23896264169,5,13,12,5,5,11,11,0,1,3650,620,500,620,13,-0.0328767123287671,TRUE
"83",23896264169,6,13,12,5,5,11,11,0,1,3800,900,650,900,13,-0.0657894736842105,TRUE
"84",23896264169,7,13,12,5,5,11,11,0,1,3920,958,770,958,13,-0.0479591836734694,TRUE
"85",23896264169,8,13,12,6,6,11,11,0,1,4050,1058,900,1058,13,-0.0390123456790123,TRUE
"86",23924620234,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,TRUE
"87",23924620234,1,23,23,9,9,5,5,0,0,3500,480,100,480,23,-0.108571428571429,TRUE
"88",23924620234,2,32,32,18,18,8,8,0,0,3540,1100,140,1100,32,-0.271186440677966,TRUE
"89",23924620234,3,34,34,20,20,10,10,0,0,3580,1240,180,1240,34,-0.29608938547486,TRUE
"90",23924620234,4,40,40,23,23,16,16,0,0,3680,1573,280,1573,40,-0.351358695652174,TRUE
"91",23924620234,5,40,40,23,23,16,16,0,0,3720,1593,320,1593,40,-0.342204301075269,TRUE
"92",23924620234,6,40,40,23,23,16,16,0,0,3760,1663,360,1663,40,-0.346542553191489,TRUE
"93",23969324559,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,TRUE
"94",23969324559,1,13,13,9,9,5,5,0,0,3100,355,275,355,13,-0.0258064516129032,TRUE
"95",23969324559,2,16,16,12,12,5,5,0,0,3160,605,335,605,16,-0.0854430379746835,TRUE
