"","item_id","bundle_index1","bundle_index2","premrel","diff"
"1",16831203027,1,2,17,2
"2",16831203027,1,3,59,1
"3",16831203027,1,4,-121,10
"4",16831203027,1,5,-91,9
"5",16831203027,1,6,-108,11
"6",16831203027,1,7,-33,11
"7",16831203027,1,8,37,11
"8",16831203027,2,3,42,1
"9",16831203027,2,4,-138,8
"10",16831203027,2,5,-108,9
"11",16831203027,2,6,-125,9
"12",16831203027,2,7,-50,11
"13",16831203027,2,8,20,11
"14",16831203027,3,4,-180,11
"15",16831203027,3,5,-150,8
"16",16831203027,3,6,-167,12
"17",16831203027,3,7,-92,10
"18",16831203027,3,8,-22,12
"19",16831203027,4,5,30,3
"20",16831203027,4,6,13,5
"21",16831203027,4,7,88,7
"22",16831203027,4,8,158,7
"23",16831203027,5,6,-17,6
"24",16831203027,5,7,58,4
"25",16831203027,5,8,128,6
"26",16831203027,6,7,75,2
"27",16831203027,6,8,145,2
"28",16831203027,7,8,70,2
"29",18053093587,1,2,-80,2
"30",18053093587,1,3,-5,8
"31",18053093587,1,4,45,8
"32",18053093587,1,5,-235,11
"33",18053093587,1,6,-195,11
"34",18053093587,1,7,5,11
"35",18053093587,2,3,75,6
"36",18053093587,2,4,125,6
"37",18053093587,2,5,-155,9
"38",18053093587,2,6,-115,9
"39",18053093587,2,7,85,9
"40",18053093587,3,4,50,4
"41",18053093587,3,5,-230,5
"42",18053093587,3,6,-190,7
"43",18053093587,3,7,10,7
"44",18053093587,4,5,-280,5
"45",18053093587,4,6,-240,3
"46",18053093587,4,7,-40,3
"47",18053093587,5,6,40,2
"48",18053093587,5,7,240,4
"49",18053093587,6,7,200,2
"50",18352298789,1,2,95,2
"51",18352298789,1,3,120,3
"52",18352298789,1,4,320,4
"53",18352298789,1,5,60,6
"54",18352298789,1,6,330,6
"55",18352298789,1,7,110,7
"56",18352298789,1,8,280,8
"57",18352298789,2,3,25,1
"58",18352298789,2,4,225,4
"59",18352298789,2,5,-35,4
"60",18352298789,2,6,235,6
"61",18352298789,2,7,15,5
"62",18352298789,2,8,185,6
"63",18352298789,3,4,200,3
"64",18352298789,3,5,-60,3
"65",18352298789,3,6,210,5
"66",18352298789,3,7,-10,4
"67",18352298789,3,8,160,5
"68",18352298789,4,5,-260,4
"69",18352298789,4,6,10,2
"70",18352298789,4,7,-210,5
"71",18352298789,4,8,-40,6
"72",18352298789,5,6,270,4
"73",18352298789,5,7,50,1
"74",18352298789,5,8,220,4
"75",18352298789,6,7,-220,5
"76",18352298789,6,8,-50,4
"77",18352298789,7,8,170,3
"78",18820622609,1,2,80,3
"79",18820622609,1,3,-50,5
"80",18820622609,2,3,-130,4
"81",18999829018,1,2,10,2
"82",18999829018,1,3,10,2
"83",18999829018,1,4,-20,1
"84",18999829018,1,5,30,3
"85",18999829018,1,6,210,3
"86",18999829018,1,7,15,5
"87",18999829018,1,8,-5,7
"88",18999829018,2,3,0,2
"89",18999829018,2,4,-30,3
"90",18999829018,2,5,20,1
"91",18999829018,2,6,200,3
"92",18999829018,2,7,5,3
"93",18999829018,2,8,-15,7
"94",18999829018,3,4,-30,3
"95",18999829018,3,5,20,3
"96",18999829018,3,6,200,1
"97",18999829018,3,7,5,5
"98",18999829018,3,8,-15,5
"99",18999829018,4,5,50,2
"100",18999829018,4,6,230,2
"101",18999829018,4,7,35,4
"102",18999829018,4,8,15,6
"103",18999829018,5,6,180,2
"104",18999829018,5,7,-15,2
"105",18999829018,5,8,-35,6
"106",18999829018,6,7,-195,4
"107",18999829018,6,8,-215,4
"108",18999829018,7,8,-20,4
"109",19999809846,1,2,45,2
"110",19999809846,1,3,-85,6
"111",19999809846,1,4,-210,7
"112",19999809846,1,5,-220,10
"113",19999809846,1,6,-190,9
"114",19999809846,1,7,-150,12
"115",19999809846,1,8,-100,12
"116",19999809846,2,3,-130,4
"117",19999809846,2,4,-255,9
"118",19999809846,2,5,-265,8
"119",19999809846,2,6,-235,11
"120",19999809846,2,7,-195,10
"121",19999809846,2,8,-145,12
"122",19999809846,3,4,-125,5
"123",19999809846,3,5,-135,4
"124",19999809846,3,6,-105,7
"125",19999809846,3,7,-65,6
"126",19999809846,3,8,-15,8
"127",19999809846,4,5,-10,3
"128",19999809846,4,6,20,4
"129",19999809846,4,7,60,7
"130",19999809846,4,8,110,7
"131",19999809846,5,6,30,5
"132",19999809846,5,7,70,4
"133",19999809846,5,8,120,6
"134",19999809846,6,7,40,3
"135",19999809846,6,8,90,3
"136",19999809846,7,8,50,2
"137",20167630571,1,2,-10,6
"138",20167630571,1,3,35,8
"139",20167630571,1,4,70,10
"140",20167630571,1,5,265,10
"141",20167630571,2,3,45,2
"142",20167630571,2,4,80,4
"143",20167630571,2,5,275,4
"144",20167630571,3,4,35,4
"145",20167630571,3,5,230,4
"146",20167630571,4,5,195,2
"147",20186366493,1,2,-15,3
"148",20186366493,1,3,10,3
"149",20186366493,1,4,50,1
"150",20186366493,1,5,45,4
"151",20186366493,1,6,70,4
"152",20186366493,1,7,140,4
"153",20186366493,1,8,165,4
"154",20186366493,2,3,25,2
"155",20186366493,2,4,65,4
"156",20186366493,2,5,60,1
"157",20186366493,2,6,85,3
"158",20186366493,2,7,155,1
"159",20186366493,2,8,180,3
"160",20186366493,3,4,40,4
"161",20186366493,3,5,35,3
"162",20186366493,3,6,60,1
"163",20186366493,3,7,130,3
"164",20186366493,3,8,155,1
"165",20186366493,4,5,-5,3
"166",20186366493,4,6,20,3
"167",20186366493,4,7,90,5
"168",20186366493,4,8,115,5
"169",20186366493,5,6,25,2
"170",20186366493,5,7,95,2
"171",20186366493,5,8,120,4
"172",20186366493,6,7,70,4
"173",20186366493,6,8,95,2
"174",20186366493,7,8,25,2
"175",20373091017,1,2,5,2
"176",20373091017,1,3,20,2
"177",20373091017,2,3,15,2
"178",20728727154,1,2,-50,8
"179",20728727154,1,3,-115,10
"180",20728727154,1,4,30,11
"181",20728727154,1,5,35,13
"182",20728727154,1,6,175,13
"183",20728727154,1,7,345,13
"184",20728727154,1,8,347,15
"185",20728727154,2,3,-65,6
"186",20728727154,2,4,80,9
"187",20728727154,2,5,85,13
"188",20728727154,2,6,225,13
"189",20728727154,2,7,395,13
"190",20728727154,2,8,397,15
"191",20728727154,3,4,145,5
"192",20728727154,3,5,150,9
"193",20728727154,3,6,290,9
"194",20728727154,3,7,460,11
"195",20728727154,3,8,462,13
"196",20728727154,4,5,5,8
"197",20728727154,4,6,145,8
"198",20728727154,4,7,315,10
"199",20728727154,4,8,317,12
"200",20728727154,5,6,140,4
"201",20728727154,5,7,310,8
"202",20728727154,5,8,312,8
"203",20728727154,6,7,170,6
"204",20728727154,6,8,172,6
"205",20728727154,7,8,2,6
"206",23896264169,1,2,-65,4
"207",23896264169,1,3,-20,5
"208",23896264169,1,4,-40,7
"209",23896264169,1,5,75,8
"210",23896264169,1,6,-55,10
"211",23896264169,1,7,7,10
"212",23896264169,1,8,37,10
"213",23896264169,2,3,45,5
"214",23896264169,2,4,25,7
"215",23896264169,2,5,140,8
"216",23896264169,2,6,10,10
"217",23896264169,2,7,72,10
"218",23896264169,2,8,102,10
"219",23896264169,3,4,-20,2
"220",23896264169,3,5,95,7
"221",23896264169,3,6,-35,7
"222",23896264169,3,7,27,9
"223",23896264169,3,8,57,9
"224",23896264169,4,5,115,5
"225",23896264169,4,6,-15,5
"226",23896264169,4,7,47,7
"227",23896264169,4,8,77,7
"228",23896264169,5,6,-130,4
"229",23896264169,5,7,-68,4
"230",23896264169,5,8,-38,6
"231",23896264169,6,7,62,4
"232",23896264169,6,8,92,4
