"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","bundle_price","optimal_price","premium_percent"
"1",16831203027,0,0,0,0,0,0,0,2750,NA,NA
"2",16831203027,1,14,12,2,2,3,3,2960,NA,NA
"3",16831203027,2,14,12,2,2,3,3,2990,NA,NA
"4",16831203027,3,15,13,2,2,3,3,3042,NA,NA
"5",16831203027,4,20,18,3,3,5,5,3070,NA,NA
"6",16831203027,5,21,19,3,3,5,5,3110,NA,NA
"7",16831203027,6,23,21,3,3,6,6,3150,NA,NA
"8",16831203027,7,23,21,3,3,6,6,3220,NA,NA
"9",16831203027,8,23,21,3,3,6,6,3310,NA,NA
"10",18053093587,0,0,0,0,0,0,0,3280,NA,NA
"11",18053093587,1,9,9,4,4,2,2,3478,3710,-0.0667050028752156
"12",18053093587,2,9,9,4,4,2,2,3548,3860,-0.0879368658399098
"13",18053093587,3,11,10,4,4,2,2,3638,NA,NA
"14",18053093587,4,11,10,4,4,2,2,3708,NA,NA
"15",18053093587,5,14,13,6,6,5,5,3808,NA,NA
"16",18053093587,6,14,13,6,6,5,5,3868,NA,NA
"17",18053093587,7,14,13,6,6,5,5,4088,NA,NA
"18",18352298789,0,0,0,0,0,0,0,3450,NA,NA
"19",18352298789,1,5,5,3,3,1,1,3620,3735,NA
"20",18352298789,2,7,7,5,5,1,1,3800,3820,NA
"21",18352298789,3,8,8,6,6,1,1,3840,3835,NA
"22",18352298789,4,9,9,6,6,3,3,4090,3885,NA
"23",18352298789,5,9,9,6,6,2,2,3900,3955,NA
"24",18352298789,6,9,9,6,6,3,3,4150,3935,NA
"25",18352298789,7,10,10,7,7,3,3,4100,4105,NA
"26",18352298789,8,11,11,8,8,3,3,4300,NA,NA
"27",18820622609,0,0,0,0,0,0,0,3450,NA,NA
"28",18820622609,1,8,8,3,3,4,4,3900,3650,0.0641025641025641
"29",18820622609,2,9,9,4,4,5,5,4100,3770,0.0804878048780488
"30",18820622609,3,9,9,4,4,5,5,4200,4000,0.0476190476190476
"31",18999829018,0,0,0,0,0,0,0,2840,NA,NA
"32",18999829018,1,9,9,7,7,9,9,3180,NA,NA
"33",18999829018,2,9,9,7,7,9,9,3230,NA,NA
"34",18999829018,3,9,9,7,7,9,9,3260,NA,NA
"35",18999829018,4,10,10,8,8,10,10,3260,NA,NA
"36",18999829018,5,10,10,8,8,10,10,3350,NA,NA
"37",18999829018,6,10,10,8,8,10,10,3560,NA,NA
"38",18999829018,7,12,12,9,9,12,12,3510,NA,NA
"39",18999829018,8,12,12,9,9,12,12,3610,NA,NA
"40",19999809846,0,1,0,0,0,0,0,2850,NA,NA
"41",19999809846,1,21,19,7,7,5,5,3080,NA,NA
"42",19999809846,2,21,19,7,7,5,5,3120,NA,NA
"43",19999809846,3,23,21,9,9,5,5,3190,NA,NA
"44",19999809846,4,26,24,10,10,6,6,3250,NA,NA
"45",19999809846,5,27,25,10,10,6,6,3290,NA,NA
"46",19999809846,6,28,26,10,10,7,7,3350,NA,NA
"47",19999809846,7,29,27,10,10,8,8,3400,NA,NA
"48",19999809846,8,29,27,NA,NA,8,8,3470,NA,NA
"49",20167630571,0,0,0,0,0,0,0,2780,NA,NA
"50",20167630571,1,12,12,12,12,2,2,3010,3143,-0.0441860465116279
"51",20167630571,2,14,14,14,14,4,4,3080,3213,-0.0431818181818182
"52",20167630571,3,14,14,14,14,4,4,3120,3208,-0.0282051282051282
"53",20167630571,4,14,14,14,14,4,4,3190,3243,-0.0166144200626959
"54",20167630571,5,16,16,16,16,4,4,3450,3308,0.0411594202898551
"55",20186366493,0,0,0,0,0,0,0,3110,NA,NA
"56",20186366493,1,16,14,9,7,1,1,5080,NA,NA
"57",20186366493,2,17,15,10,8,1,1,5120,NA,NA
"58",20186366493,3,17,15,10,8,1,1,5150,NA,NA
"59",20186366493,4,17,15,10,8,1,1,5190,NA,NA
"60",20186366493,5,18,16,11,9,1,1,5240,NA,NA
"61",20186366493,6,18,16,11,9,1,1,5270,NA,NA
"62",20186366493,7,18,16,11,9,1,1,5350,NA,NA
"63",20186366493,8,18,16,11,9,1,1,5380,NA,NA
"64",20373091017,0,0,0,0,0,0,0,2950,NA,NA
"65",20373091017,1,9,9,2,2,0,0,3110,3200,-0.0289389067524116
"66",20373091017,2,9,9,2,2,0,0,3130,3215,-0.0271565495207668
"67",20373091017,3,9,9,2,2,0,0,3130,3250,-0.0383386581469649
"68",20728727154,0,0,0,0,0,0,0,3358,NA,NA
"69",20728727154,1,11,11,6,6,2,2,3538,3818,-0.0791407574901074
"70",20728727154,2,13,13,8,8,3,3,3658,3973,-0.0861126298523783
"71",20728727154,3,13,13,8,8,3,3,3768,4193,-0.112791932059448
"72",20728727154,4,14,14,8,8,3,3,3958,4238,-0.0707427993936331
"73",20728727154,5,14,14,8,8,4,4,4088,NA,NA
"74",20728727154,6,14,14,8,8,5,5,4188,4308,-0.0286532951289398
"75",20728727154,7,14,14,8,8,5,5,4358,4308,0.0114731528223956
"76",20728727154,8,16,16,10,10,5,5,4500,4448,0.0115555555555556
"77",23896264169,0,0,0,0,0,0,0,3150,NA,NA
"78",23896264169,1,9,8,3,3,6,6,3350,NA,NA
"79",23896264169,2,11,10,4,4,9,9,3450,NA,NA
"80",23896264169,3,10,9,3,3,8,8,3450,NA,NA
"81",23896264169,4,12,11,4,4,10,10,3550,NA,NA
"82",23896264169,5,13,12,5,5,11,11,3650,NA,NA
"83",23896264169,6,13,12,5,5,11,11,3800,NA,NA
"84",23896264169,7,13,12,5,5,11,11,3920,NA,NA
"85",23896264169,8,13,12,6,6,11,11,4050,NA,NA
"86",23924620234,0,0,0,0,0,0,0,3400,NA,NA
"87",23924620234,1,23,23,9,9,5,5,3500,3880,-0.108571428571429
"88",23924620234,2,32,32,18,18,8,8,3540,4500,-0.271186440677966
"89",23924620234,3,34,34,20,20,10,10,3580,4640,-0.29608938547486
"90",23924620234,4,40,40,23,23,16,16,3680,4973,-0.351358695652174
"91",23924620234,5,40,40,23,23,16,16,3720,4993,-0.342204301075269
"92",23924620234,6,40,40,23,23,16,16,3760,5063,-0.346542553191489
"93",23969324559,0,0,0,0,0,0,0,2825,NA,NA
"94",23969324559,1,13,13,9,9,5,5,3100,3180,-0.0258064516129032
"95",23969324559,2,16,16,12,12,5,5,3160,3430,-0.0854430379746835
"96",23969324559,3,18,18,14,14,7,7,3180,3500,-0.10062893081761
"97",23969324559,4,20,20,15,15,9,9,3240,3678,-0.135185185185185
"98",23969324559,5,20,20,15,15,9,9,3330,3703,-0.112012012012012
"99",23969324559,6,20,20,15,15,9,9,3330,3703,-0.112012012012012
"100",23969324559,7,20,20,15,15,9,9,3390,3703,-0.092330383480826
"101",23969324559,8,20,20,15,15,9,9,3480,3703,-0.0640804597701149
"102",24291960195,0,0,0,0,0,0,0,4099,NA,NA
"103",24291960195,1,4,4,4,4,4,4,5030,4201,0.164811133200795
"104",24291960195,2,5,5,5,5,5,5,5130,4247,0.172124756335283
"105",24291960195,3,7,7,7,7,6,6,5250,4357,0.170095238095238
"106",24291960195,4,7,7,7,7,6,6,5470,4377,0.19981718464351
"107",24291960195,5,7,7,7,7,6,6,5450,4505,0.173394495412844
"108",24291960195,6,7,7,7,7,6,6,5510,4527,0.178402903811252
"109",24291960195,7,7,7,7,7,6,6,5730,4547,0.206457242582897
"110",24319152517,0,0,0,0,0,0,0,3348,NA,NA
"111",24319152517,1,5,5,5,5,0,0,3598,3628,-0.00833796553640912
"112",24319152517,2,7,7,7,7,0,0,3798,3673,0.0329120589784097
"113",24319152517,3,11,11,11,11,0,0,4098,4256,-0.038555392874573
"114",24319152517,4,11,11,11,11,0,0,4298,4156,0.0330386226151698
"115",24319152517,5,12,12,12,12,0,0,4598,4311,0.0624184428012179
"116",24596036343,0,0,0,0,0,0,0,3049,NA,NA
"117",24596036343,1,10,10,5,5,4,4,3259,3309,-0.0153421294875729
"118",24596036343,2,12,12,7,7,6,6,3319,3399,-0.0241036456764086
"119",24596036343,3,13,13,8,8,7,7,3479,3439,0.0114975567691865
"120",24596036343,4,14,14,9,9,7,7,3599,NA,NA
"121",24596036343,5,14,14,9,9,7,7,3799,NA,NA
"122",24596036343,6,15,15,10,10,8,8,4049,NA,NA
"123",24596036343,7,16,16,11,11,9,9,3839,3794,0.0117218025527481
"124",24596036343,8,17,17,12,12,9,9,4149,NA,NA
"125",25673844634,0,0,0,0,0,0,0,NA,NA,NA
"126",25673844634,1,11,10,6,5,3,2,NA,NA,NA
"127",25673844634,2,17,15,6,5,3,2,NA,NA,NA
"128",25673844634,3,17,15,6,5,3,2,NA,NA,NA
"129",25673844634,4,17,15,6,5,3,2,NA,NA,NA
"130",26519380192,0,0,0,0,0,0,0,3260,NA,NA
"131",26519380192,1,14,14,7,7,8,8,3490,NA,NA
"132",26519380192,2,15,15,8,8,9,9,3600,NA,NA
"133",26519380192,3,15,15,8,8,9,9,3710,NA,NA
"134",26519380192,4,15,15,8,8,9,9,3820,NA,NA
"135",26519380192,5,17,17,10,10,10,10,3930,NA,NA
"136",26519380192,6,17,17,10,10,10,10,4140,NA,NA
"137",26519380192,7,17,17,10,10,10,10,4640,NA,NA
"138",27462844289,0,1,1,0,0,0,0,3060,NA,NA
"139",27462844289,1,12,12,4,4,6,6,3220,NA,NA
"140",27462844289,2,12,12,4,4,6,6,3260,NA,NA
"141",27462844289,3,13,13,5,5,7,7,3460,NA,NA
"142",27462844289,4,13,13,5,5,7,7,3540,NA,NA
"143",27462844289,5,15,15,7,7,9,9,3960,NA,NA
"144",27462844289,6,15,15,7,7,9,9,4040,NA,NA
"145",35540978058,0,1,1,0,0,0,0,2998,30,0.989993328885924
"146",35540978058,1,9,9,3,3,2,2,3128,3353,-0.0719309462915601
"147",35540978058,2,11,11,5,5,4,4,3338,3628,-0.0868783702816057
"148",35540978058,3,12,12,6,6,5,5,3448,NA,NA
"149",35540978058,4,12,12,6,6,5,5,3598,NA,NA
"150",35540978058,5,12,12,6,6,5,5,3798,3845,-0.012374934175882
"151",35557065616,0,0,0,0,0,0,0,3280,NA,NA
"152",35674260254,0,0,0,0,0,0,0,2710,NA,NA
"153",35674260254,1,12,12,10,10,2,2,2900,3130,-0.0793103448275862
"154",35674260254,2,12,12,10,10,2,2,2930,3143,-0.0726962457337884
"155",35674260254,3,12,12,10,10,2,2,2970,3138,-0.0565656565656566
"156",35674260254,4,12,12,10,10,2,2,3050,3158,-0.0354098360655738
"157",35674260254,5,13,13,11,11,2,2,3090,3218,-0.0414239482200647
"158",35674260254,6,13,13,11,11,2,2,3170,3213,-0.0135646687697161
"159",35674260254,7,13,13,11,11,2,2,3210,3233,-0.00716510903426791
"160",35674260254,8,16,16,11,11,2,2,3250,3343,-0.0286153846153846
"161",36513357018,0,0,0,0,0,0,0,2950,NA,NA
"162",36513357018,1,1,1,1,1,1,1,2500,3060,-0.224
"163",36513357018,2,12,12,12,12,3,3,3100,3397,-0.0958064516129032
"164",36513357018,3,13,13,13,13,4,4,3200,3480,-0.0875
"165",36513357018,4,13,13,13,13,4,4,3250,3475,-0.0692307692307692
"166",36513357018,5,13,13,13,13,4,4,3300,3495,-0.0590909090909091
"167",36574928690,0,0,0,0,0,0,0,2860,NA,NA
"168",36574928690,1,12,12,12,12,2,2,2960,3060,-0.0337837837837838
"169",36574928690,2,16,16,16,16,2,2,3040,3320,-0.0921052631578947
"170",36574928690,3,18,18,18,18,3,3,3150,3660,-0.161904761904762
"171",36574928690,4,18,18,18,18,3,3,3260,3780,-0.159509202453988
"172",36574928690,5,18,18,18,18,3,3,3380,3780,-0.118343195266272
"173",36613205733,0,0,0,0,0,0,0,2849,NA,NA
"174",36613205733,1,16,16,8,8,6,6,2999,NA,NA
"175",36613205733,2,18,18,15,15,6,6,3059,NA,NA
"176",36613205733,3,19,19,16,16,7,7,3139,NA,NA
"177",36613205733,4,21,21,18,18,7,7,3239,NA,NA
"178",36613205733,5,22,22,19,19,8,8,3459,NA,NA
"179",36613205733,6,23,23,20,20,9,9,3589,NA,NA
"180",36910165248,0,0,0,0,0,0,0,2858,NA,NA
"181",36910165248,1,7,6,6,5,0,0,3078,NA,NA
"182",36910165248,2,7,6,6,5,0,0,3118,NA,NA
"183",36910165248,3,12,10,11,9,0,0,3228,NA,NA
"184",36910165248,4,12,10,11,9,0,0,3268,NA,NA
"185",36910165248,5,12,10,11,9,0,0,3358,NA,NA
"186",36910165248,6,14,12,13,11,1,1,3418,NA,NA
"187",36910165248,7,14,12,13,11,1,1,3508,NA,NA
