"","item_id","bundle_index1","bundle_index2","premrel","diff"
"172",39237426326,1,3,45,3
"173",39237426326,1,4,110,3
"174",40148868087,1,2,45,2
"175",40148868087,1,3,90,2
"176",40148868087,1,4,110,2
"177",40148868087,1,5,135,4
"178",40148868087,5,6,35,2
"179",40148868087,5,7,60,2
"180",40175359932,1,2,73,2
"181",40175359932,1,3,112,2
"182",40175359932,1,4,155,1
"183",40175359932,1,5,198,3
"184",40175359932,5,6,39,2
"185",40175359932,5,7,77,2
"186",40452911197,1,2,25,2
"187",40452911197,1,3,50,2
"188",40452911197,1,4,86,2
"189",40452911197,1,5,-38,5
"190",40452911197,5,6,25,2
"191",40452911197,5,7,50,2
"192",40452911197,5,8,86,2
"193",40565901878,1,2,143,2
"194",40565901878,1,3,-80,6
"195",41802068265,1,2,-10,4
"196",41802068265,1,3,50,4
"197",41802068265,1,4,10,9
"198",41802068265,1,5,55,9
"199",41802068265,5,6,40,7
"200",41802068265,5,7,-70,8
"201",41802068265,5,8,355,6
"202",42468840454,1,2,0,2
"203",42468840454,1,3,79,5
"204",42468840454,1,4,60,4
"205",42468840454,1,5,99,6
"206",42468840454,5,6,26,5
"207",42468840454,5,7,105,4
"208",42468840454,5,8,-27,7
"209",42681494957,1,2,55,7
"210",42681494957,1,3,111,9
"211",42681494957,1,4,231,13
"212",42681494957,1,5,260,13
"213",42981617542,1,2,-20,2
"214",42981617542,1,3,100,5
"215",42981617542,1,4,186,8
"216",42981617542,1,5,466,8
"217",42981617542,5,6,104,3
"218",42981617542,5,7,-361,10
"219",42981617542,5,8,4,5
"220",43168072227,1,2,42.1499999999996,1
"221",43168072227,1,3,146.86,5
"222",43168072227,1,4,182.15,12
"223",43168072227,1,5,235.43,11
"224",43168072227,5,6,132.429999999999,3
"225",43168072227,5,7,37.8599999999997,6
"226",43168072227,5,8,115.86,8
"227",43426870825,1,2,75,4
"228",43426870825,1,3,115,5
"229",43426870825,1,4,315,5
"230",43426870825,1,5,400,5
"231",43452978184,1,2,27,5
"232",43452978184,1,3,-93,5
"233",43452978184,1,4,-83,6
"234",43473279886,1,2,30,2
"235",43473279886,1,3,40,2
"236",43473279886,1,4,20,1
"237",43473279886,1,5,40,1
"238",43736454825,1,2,19,2
"239",43736454825,1,3,39,6
"240",43736454825,1,4,4,11
"241",43736454825,1,5,92,10
"242",43736454825,5,6,93,3
"243",43736454825,5,7,65,7
"244",43736454825,5,8,28,8
"245",43853759026,1,2,38,2
"246",43853759026,1,3,67,2
"247",43853759026,1,4,89,1
"248",43853759026,1,5,129,3
"249",43853759026,5,6,36,5
"250",43853759026,5,7,74,3
"251",43853759026,5,8,103,5
"252",43859660891,1,2,15,2
"253",43859660891,1,3,30,2
"254",43859660891,1,4,76,2
"255",43859660891,1,5,245,1
"256",43859660891,5,6,15,2
"257",43859660891,5,7,30,2
"258",43859660891,5,8,76,2
"259",44021641588,1,2,18,1
"260",44021641588,1,3,27,1
"261",44021641588,1,4,45,1
"262",44069100271,1,2,38,2
"263",44069100271,1,3,67,2
"264",44069100271,1,4,89,1
"265",44069100271,1,5,129,3
"266",44069100271,5,6,71,4
"267",44069100271,5,7,109,2
"268",44069100271,5,8,138,4
"269",44231886556,1,2,45,9
"270",44231886556,1,3,90,14
"271",44231886556,1,4,90,17
"272",44331296085,1,2,70,3
"273",44331296085,1,3,243,10
"274",44799642380,1,2,15.2400000000002,2
"275",44799642380,1,3,40.1600000000003,2
"276",44799642380,1,4,84.6800000000003,2
"277",44799642380,1,5,0.640000000000327,5
"278",44799642380,5,6,24.04,2
"279",44799642380,5,7,48.96,2
"280",44799642380,5,8,94.3599999999997,2
"281",44881048637,1,2,122,4
"282",44881048637,1,3,521,8
"283",44881048637,1,4,642,11
"284",45219159638,1,2,40,2
"285",45219159638,1,3,20,1
"286",45219159638,1,4,35,1
"287",45293052304,1,2,47,2
"288",45293052304,1,3,127,2
"289",45293052304,1,4,65,3
"290",45293052304,1,5,112,5
"291",45293052304,5,6,80,2
"292",521513506795,1,2,23,2
"293",521513506795,1,3,10,5
"294",521513506795,1,4,23,7
"295",521513506795,1,5,22,8
"296",521513506795,5,6,-147,7
"297",521513506795,5,7,-124,7
"298",521513506795,5,8,-90,7
"299",521870063421,1,2,25,2
"300",521870063421,1,3,105,3
"301",521870063421,1,4,-100,3
"302",521870063421,1,5,-60,5
"303",521870063421,5,6,25,1
"304",522033862841,1,2,15,2
"305",522033862841,1,3,40,2
"306",522033862841,1,4,85,2
"307",522033862841,1,5,-40,5
"308",522033862841,5,6,15,3
"309",522033862841,5,7,40,2
"310",522033862841,5,8,85,1
"311",522086451970,1,2,19,2
"312",522086451970,1,3,67,2
"313",522086451970,1,4,177,4
"314",522086451970,1,5,262,4
"315",522086451970,5,6,100,2
"316",522097809685,1,2,21.4099999999999,2
"317",522097809685,1,3,-9.30000000000018,4
"318",522097809685,1,4,-56.6200000000003,8
"319",522097809685,1,5,-30.7200000000003,8
"320",522097809685,5,6,97.4500000000003,4
"321",522097809685,5,7,73.3499999999999,5
"322",522097809685,5,8,88.25,7
"323",522145128789,1,2,-7,3
"324",522145128789,1,3,32,3
"325",522145128789,1,4,-10,4
"326",522145128789,1,5,-5,2
"327",522145128789,5,6,28,2
"328",522145128789,5,7,142,4
"329",522145128789,5,8,200,4
"330",522743875767,1,2,15,2
"331",522743875767,1,3,40,2
"332",522743875767,1,4,85,2
"333",522743875767,1,5,225,1
"334",522743875767,5,6,15,2
"335",522743875767,5,7,40,2
"336",522743875767,5,8,85,2
"337",522863996797,1,2,18,1
"338",522863996797,1,3,27,1
"339",522863996797,1,4,45,1
"340",523084126902,1,2,60,2
"341",523084126902,1,3,50,1
"342",523084126902,1,4,80,3
"343",523084126902,1,5,175,1
"344",523084126902,5,6,30,2
"345",523084126902,5,7,351,2
"346",523084126902,5,8,381,4
"347",523776961013,1,2,35,2
"348",523776961013,1,3,-60,4
"349",523776961013,1,4,-25,6
"350",523776961013,1,5,40,6
"351",523776961013,5,6,-345,6
"352",523776961013,5,7,-280,4
