"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share","BD","BU","CC","CD","DC","DK","FD","FH","FW","GJ","JB","JD","JZ","LJ","MO","PG","PZ","QC","QT","RG","SJ","SP","UV","WD","WJ","XB","XN","YK","ZG","cc"
"32",5.2325e+11,1,3,37,7,0.264285714285714,".",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"33",5.2325e+11,1,4,-18,10,0.0357142857142857,".",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
"34",5.23786e+11,1,2,-35,5,0.281481481481481,".",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"35",5.23786e+11,1,3,32,7,0.266666666666667,".",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"36",5.23786e+11,1,4,-33,10,0.0740740740740741,".",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
"37",5.23786e+11,1,5,215,4,0.0222222222222222,".",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"38",5.23786e+11,1,6,275,9,0.0148148148148148,".",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"39",5.23786e+11,1,7,365,10,0.00740740740740741,".",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
"40",5.23786e+11,1,8,465,13,0.0296296296296296,".",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
"41",5.24364e+11,1,2,-10,2,0.538461538461538,".",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",5.24364e+11,1,3,160,4,0.307692307692308,".",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",5.24364e+11,1,4,240,4,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",5.24364e+11,1,5,152,9,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"45",5.24364e+11,1,6,252,9,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"46",5.24364e+11,1,7,312,9,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"47",5.24364e+11,1,8,382,9,NA,NA,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
